# nicanav landmark gazetteer seed -- the curated half of pipeline/geocode/gazetteer_build.py.
#
# These are the points Nicaraguans actually navigate by and that OSM either does
# not carry at all ("donde fue el Cine Cabrera") or carries without the name
# people use ("Rotonda Metrocentro" is officially Rotonda Ruben Dario).
#
# ACCURACY CAVEAT -- READ BEFORE TRUSTING A COORDINATE
# Every coordinate here was placed from documentary knowledge of Managua and the
# Pacific towns, not from a survey.  Treat them as accurate to roughly 100-300 m
# and, for the rows whose `note` says "coordenada por verificar", to no better
# than 500 m.  A wrong landmark position silently rotates or shifts every
# relative address built on it, so the field programme re-measures these with a
# handheld fix before the row is promoted above popularity 0.6.  OSM wins on
# position wherever it has the same landmark (see gazetteer_build.merge rules) --
# these coordinates are the fallback, not the authority.  `former` rows have no
# OSM counterpart by definition, so their coordinates stay as written here.
#
# Columns:
#   name        display name, Spanish, as a person would say it
#   name_alt    ";"-separated alternative spellings and nicknames
#   kind        see GAZETTEER_KINDS in pipeline/geocode/gazetteer_build.py
#   lat,lon     WGS84 degrees, (lat, lon) order
#   city        municipality, used to pick the cuadra length and to block merges
#   former      true when the landmark no longer exists but is still spoken
#   era         free text: when it existed / when the name applied
#   popularity  0..1, how often people actually navigate by it (not how famous)
#   note        why it matters, or what needs verifying.  No commas: use ";".
#
name,name_alt,kind,lat,lon,city,former,era,popularity,note
Rotonda El Güegüense,Rotonda Plaza España;El Güegüense;Rotonda Gueguense,rotonda,12.1352,-86.2807,Managua,false,,0.95,Pista Juan Pablo II en Bolonia; casi todo el mundo la llama Plaza España
Rotonda Rubén Darío,Rotonda Metrocentro;Rotonda de Metrocentro,rotonda,12.1281,-86.2681,Managua,false,,0.98,Inicio de la Carretera a Masaya junto a Metrocentro; el nombre oficial casi no se usa
Rotonda Centroamérica,Rotonda Centro América,rotonda,12.1094,-86.2545,Managua,false,,0.95,Carretera a Masaya con la Pista Juan Pablo II
Rotonda Jean Paul Genie,Rotonda Genie;La Genie,rotonda,12.1003,-86.2452,Managua,false,,0.9,Carretera a Masaya con la Pista Jean Paul Genie
Rotonda Bello Horizonte,Rotonda de Bello Horizonte,rotonda,12.1332,-86.2318,Managua,false,,0.8,Distrito V al oriente; coordenada por verificar
Rotonda Cristo Rey,,rotonda,12.1420,-86.2843,Managua,false,,0.75,Pista Juan Pablo II frente a la iglesia Cristo Rey; coordenada por verificar
Rotonda Santo Domingo,Rotonda de Santo Domingo,rotonda,12.0895,-86.2348,Managua,false,,0.6,Carretera a Masaya cerca de Galerías Santo Domingo; coordenada por verificar
Rotonda La Virgen,,rotonda,12.1128,-86.2620,Managua,false,,0.55,Coordenada por verificar; confirmar cuál rotonda recibe este nombre en el habla
Rotonda Universitaria,Rotonda Rigoberto López Pérez,rotonda,12.1373,-86.2673,Managua,false,,0.7,Avenida Universitaria junto a la UNI; coordenada por verificar
Rotonda El Periodista,Rotonda del Periodista,rotonda,12.1372,-86.2892,Managua,false,,0.65,Occidente de Managua; coordenada por verificar
